Curated Passage text,Total sentences,"Expected metaphors, based on human 
judgement (underlined on left)","Accurate metaphors identified and 
replaced",Wrong metaphors identified,replaced with same words,"blanks or replacement words not 
in corpus (marked as misc)",replace_words,target_words,modified_sentences,metaphors,abstractive_summarizer,cosinesim_summarizer
"Bobby Holloway says my imagination is a three-hundred-ring circus. Currently I was in ring two hundred and ninety-nine, with elephants dancing and clowns cart wheeling and tigers leaping through rings of fire. The time had come to step back, leave the main tent, go buy some popcorn and a Coke, bliss out, cool down.",3,1,0,1,0,2,"['', 'cycle', '']","['says', 'wheeling', 'main']","['Bobby Holloway says my imagination is a three-hundred-ring circus.', 'Currently I was in ring two hundred and ninety-nine, with elephants dancing and clowns cart cycle and tigers leaping through rings of fire.', 'The time had come to step back, leave the main tent, go buy some popcorn and a Coke, bliss out, cool down.']","['misc', 'metaphor', 'misc']","Bobby Holloway says my imagination is a three-hundred-ring circus. he says the time had come to step back, leave the main tent, go buy some popcorn and an Coke, bliss out, cool down.","The time had come to step back, leave the main tent, go buy some popcorn and a Coke, bliss out, cool down."
"He could hear Beatty's voice. ‘Sit down, Montag. Watch. Delicately, like the petals of a flower. Light the first page, light the second page. Each becomes a black butterfly. Beautiful, eh? Light the third page from the second and so on, chainsmoking, chapter by chapter, all the silly things the words mean, all the false promises, all the second-hand notions and time-worn philosophies.",8,1,0,2,2,4,"['try', '', '', '', 'first', 'root', '', 'third']","['hear', '', '', '', 'first', 'becomes', '', 'third']","[""He could hear Beatty's voice."", '‘Sit down, Montag.', 'Watch.', 'Delicately, like the petals of a flower.', 'Light the first page, light the second page.', 'Each root a black butterfly.', 'Beautiful, eh?', 'Light the third page from the second and so on, chainsmoking, chapter by chapter, all the silly things the words mean, all the false promises, all the second-hand notions and time-worn philosophies.']","['literal', 'misc', 'misc', 'misc', 'literal', 'metaphor', 'misc', 'literal']","light the third page from the second and so on, chainsmoking, chapter by chapter, all the silly things the words mean.'sit down, Montag. Watch. Delicately, like the petals of a flower'","Light the third page from the second and so on, chainsmoking, chapter by chapter, all the silly things the words mean, all the false promises, all the second-hand notions and time-worn philosophies.Delicately, like the petals of a flower.Light the first page, light the second page.Each root a black butterfly."
"He walked slowly through the curling purple mists. Feeling the ground roll and quiver under his feet. Hearing the deep-voiced rumble of shifting strata far underground. There were voices in the fog, singing in high unhuman tones. No man had ever learned what it was that sang—for could the wind utter sounds so elfishly sweet. Words that haunted you with half understanding of something you had forgotten and needed desperately to remember?
",8,3,1,2,3,0,"['slowly', 'touch', 'shifting', 'high-pitched', 'ground', 'half']","['slowly', 'Feeling', 'shifting', 'high', 'learned', 'half']","['He walked slowly through the curling purple mists.', 'touch the ground roll and quiver under his feet.', 'Hearing the deep-voiced rumble of shifting strata far underground.', 'There were voices in the fog, singing in high-pitched unhuman tones.', 'No man had ever ground what it was that sang—for could the wind utter sounds so elfishly sweet.', 'Words that haunted you with half understanding of something you had forgotten and needed desperately to remember?']","['literal', 'metaphor', 'literal', 'metaphor', 'metaphor', 'literal']",no man had ever ground what it was that sang—for could the wind utter sounds so elfishly sweet. Words haunted you with half understanding of something you had forgotten and needed desperately remember?,touch the ground roll and quiver under his feet.He walked slowly through the curling purple mists.No man had ever ground what it was that sang—for could the wind utter sounds so elfishly sweet.
"Between us there was, as I have already said somewhere, the bond of the sea. Besides holding our hearts together through long periods of separation, it had the effect of making us tolerant of each other’s yarns—and even convictions. The Lawyer—the best of old fellows—had, because of his many years and many virtues, the only cushion on deck, and was lying on the only rug. The Accountant had brought out already a box of dominoes. He was toying architecturally with the bones. Marlow sat cross-legged right aft, leaning against the mizzen-mast. He had sunken cheeks. A yellow complexion,straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol. The director, satisfied the anchor had good hold, made his way aft and sat down amongst us. We exchanged a few words lazily. Afterwards there was silence on board the yacht. For some reason or other we did not begin that game of dominoes. We felt meditative, and fit for nothing but placid staring. The day was ending in a serenity of still and exquisite brilliance. The water shone pacifically. The sky, without a speck, was a benign immensity of unstained light. The very mist on the Essex marsh was like a gauzy and radiant fabric, hung from the wooded rises inland, and draping the low shores in diaphanous folds. Only the gloom to the west, brooding over the upper reaches, became more sombre every minute. As if angered by the approach of the sun.",22,2,1,9,6,1,"['somewhere', 'things', 'but', 'tube', 'architecturally', 'right', 'sink', 'echo', 'quench', 'lazily', '', 'get', 'quiet', 'lift', 'glare', 'benign', 'very', 'reflective', '']","['somewhere', 'holding', 'only', 'brought', 'architecturally', 'right', 'sunken', 'resembled', 'satisfied', 'lazily', '', 'begin', 'placid', 'ending', 'shone', 'benign', 'very', 'brooding', '']","['Between us there was, as I have already said somewhere, the bond of the sea.', 'Besides things our hearts together through long periods of separation, it had the effect of making us tolerant of each other’s yarns—and even convictions.', 'The Lawyer—the best of old fellows—had, because of his many years and many virtues, the but cushion on deck, and was lying on the but rug.', 'The Accountant had tube out already a box of dominoes.', 'He was toying architecturally with the bones.', 'Marlow sat cross-legged right aft, leaning against the mizzen-mast.', 'He had sunken cheeks.', 'A yellow complexion,straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, echo an idol.', 'The director, quench the anchor had good hold, made his way aft and sat down amongst us.', 'We exchanged a few words lazily.', 'Afterwards there was silence on board the yacht.', 'For some reason or other we did not begin that game of dominoes.', 'We felt meditative, and fit for nothing but quiet staring.', 'The day was lift in a serenity of still and exquisite brilliance.', 'The water shone pacifically.', 'The sky, without a speck, was a benign immensity of unstained light.', 'The very mist on the Essex marsh was like a gauzy and radiant fabric, hung from the wooded rises inland, and draping the low shores in diaphanous folds.', 'Only the gloom to the west, brooding over the upper reaches, became more sombre every minute.', 'As if angered by the approach of the sun.']","['literal', 'metaphor', 'metaphor', 'metaphor', 'literal', 'literal', 'literal', 'metaphor', 'metaphor', 'literal', 'misc', 'literal', 'metaphor', 'metaphor', 'literal', 'literal', 'literal', 'literal', 'misc']","between us there was, as I have already said somewhere, the bond of the sea. besides things our hearts together through long periods of separation, it had the effect of making us tolerant of each other’s yarns—and even convictions.","The Lawyer—the best of old fellows—had, because of his many years and many virtues, the but cushion on deck, and was lying on the but rug.A yellow complexion,straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, echo an idol.The day was lift in a serenity of still and exquisite brilliance.The sky, without a speck, was a benign immensity of unstained light.The very mist on the Essex marsh was like a gauzy and radiant fabric, hung from the wooded rises inland, and draping the low shores in diaphanous folds.Between us there was, as I have already said somewhere, the bond of the sea.As if angered by the approach of the sun.Besides things our hearts together through long periods of separation, it had the effect of making us tolerant of each other’s yarns—and even convictions.The director, quench the anchor had good hold, made his way aft and sat down amongst us."
"Forthwith a change came over the waters. And the serenity became less brilliant but more profound. The old river in its broad reach rested unruffled at the decline of day. After ages of good service done to the race that peopled its banks, spread out in the tranquil dignity of a waterway leading to the uttermost ends of the earth. We looked at the venerable stream not in the vivid flush of a short day that comes and departs for ever, but in the august light of abiding memories. And indeed nothing is easier for a man who has, as the phrase goes, “followed the sea” with reverence and affection, than to evoke the great spirit of the past upon the lower reaches of the Thames. The tidal current runs to and fro in its unceasing service, crowded with memories of men and ships it had borne to the rest of home or to the battles of the sea. It had known and served all the men of whom the nation is proud, from Sir Francis Drake to Sir John Franklin, knights all, titled and untitled—the great knights-errant of the sea. It had borne all the ships whose names are like jewels flashing in the night of time, from the Golden Hind returning with her rotund flanks full of treasure, to be visited by the Queen’s Highness and thus pass out of the gigantic tale, to the Erebus and Terror, bound on other conquests—and that never returned. It had known the ships and the men. They had sailed from Deptford, from Greenwich, from Erith—the adventurers and the settlers; kings’ ships and the ships of men on ’Change; captains, admirals, the dark “interlopers” of the Eastern trade, and the commissioned “generals” of East India fleets. Hunters for gold or pursuers of fame, they all had gone out on that stream, bearing the sword, and often the torch, messengers of the might within the land, bearers of a spark from the sacred fire. What greatness had not floated on the ebb of that river into the mystery of an unknown earth!... The dreams of men, the seed of commonwealths, the germs of empires.",17,2,2,5,3,2,"['', 'root', 'previous', 'extreme', 'revered', 'shadow', '', 'wash', 'full', 'bed', 'eastern', 'sacred', 'strange', '']","['', 'became', 'old', 'uttermost', 'venerable', 'followed', '', 'served', 'full', 'known', 'Eastern', 'sacred', 'unknown', '']","['Forthwith a change came over the waters.', 'And the serenity root less brilliant but more profound.', 'The previous river in its broad reach rested unruffled at the decline of day.', 'After ages of good service done to the race that peopled its banks, spread out in the tranquil dignity of a waterway leading to the extreme ends of the earth.', 'We looked at the revered stream not in the vivid flush of a short day that comes and departs for ever, but in the august light of abiding memories.', 'And indeed nothing is easier for a man who has, as the phrase goes, “shadow the sea” with reverence and affection, than to evoke the great spirit of the past upon the lower reaches of the Thames.', 'The tidal current runs to and fro in its unceasing service, crowded with memories of men and ships it had borne to the rest of home or to the battles of the sea.', 'It had known and wash all the men of whom the nation is proud, from Sir Francis Drake to Sir John Franklin, knights all, titled and untitled—the great knights-errant of the sea.', 'It had borne all the ships whose names are like jewels flashing in the night of time, from the Golden Hind returning with her rotund flanks full of treasure, to be visited by the Queen’s Highness and thus pass out of the gigantic tale, to the Erebus and Terror, bound on other conquests—and that never returned.', 'It had bed the ships and the men.', 'They had sailed from Deptford, from Greenwich, from Erith—the adventurers and the settlers; kings’ ships and the ships of men on ’Change; captains, admirals, the dark “interlopers” of the Eastern trade, and the commissioned “generals” of East India fleets.', 'Hunters for gold or pursuers of fame, they all had gone out on that stream, bearing the sword, and often the torch, messengers of the might within the land, bearers of a spark from the sacred fire.', 'What greatness had not floated on the ebb of that river into the mystery of an strange earth!...', 'The dreams of men, the seed of commonwealths, the germs of empires.']","['misc', 'metaphor', 'metaphor', 'metaphor', 'metaphor', 'metaphor', 'misc', 'metaphor', 'literal', 'metaphor', 'literal', 'literal', 'metaphor', 'misc']","the tidal current runs to and fro in its unceasing service. it had known and wash all the men of whom the nation is proud, from Sir Francis Drake to Sir John Franklin, knights all, titled and untitled—the great knight-errant of the sea.","Hunters for gold or pursuers of fame, they all had gone out on that stream, bearing the sword, and often the torch, messengers of the might within the land, bearers of a spark from the sacred fire.The tidal current runs to and fro in its unceasing service, crowded with memories of men and ships it had borne to the rest of home or to the battles of the sea.After ages of good service done to the race that peopled its banks, spread out in the tranquil dignity of a waterway leading to the extreme ends of the earth.It had borne all the ships whose names are like jewels flashing in the night of time, from the Golden Hind returning with her rotund flanks full of treasure, to be visited by the Queen’s Highness and thus pass out of the gigantic tale, to the Erebus and Terror, bound on other conquests—and that never returned.We looked at the revered stream not in the vivid flush of a short day that comes and departs for ever, but in the august light of abiding memories.And indeed nothing is easier for a man who has, as the phrase goes, “shadow the sea” with reverence and affection, than to evoke the great spirit of the past upon the lower reaches of the Thames.The dreams of men, the seed of commonwealths, the germs of empires."
"There could not have been a more horrific alarm call. Nobody dared to leave the room for fear of stepping on a tarantula. Everyone groped for a suitcase or a bed and swung himself up. Then the most peculiar silence followed - a silence of dreadful tension, full of expectation, hope, fear. It was pitch dark, and in order to enjoy the spectacle of the fourteen crouching anxiously on suitcases and beds in the most inadequate toilet, one had to make do with the imagination, because there was absolutely nothing to see. Then there were occasional little breaks in the silence; you could tell by the voice who was speaking and where they were; It was also possible to distinguish from which direction the other noises came which one of the poor sufferers caused by his groping about or a change in his body position. The now and then audible voices were not very talkative - you could only hear a faint 'ow! ‹Followed by a good stamping; Then you knew that the gentleman in question had felt a hairy carpet or something like that on his skin and had then made a leap from the bed onto the living room floor. Then again deep silence.",11,2,1,6,1,1,"['dread', 'let', '', 'so', 'poor', 'amount', 'simply', 'right', 'deep']","['horrific', 'leave', '', 'Then', 'inadequate', 'came', 'only', 'good', 'deep']","['There could not have been a more horrific alarm call.', 'Nobody dared to let the room for fear of stepping on a tarantula.', 'Everyone groped for a suitcase or a bed and swung himself up.', 'so the most peculiar silence followed - a silence of dreadful tension, full of expectation, hope, fear.', 'It was pitch dark, and in order to enjoy the spectacle of the fourteen crouching anxiously on suitcases and beds in the most inadequate toilet, one had to make do with the imagination, because there was absolutely nothing to see.', 'Then there were occasional little breaks in the silence; you could tell by the voice who was speaking and where they were; It was also possible to distinguish from which direction the other noises amount which one of the poor sufferers caused by his groping about or a change in his body position.', ""The now and then audible voices were not very talkative - you could only hear a faint 'ow!"", '‹Followed by a right stamping; Then you knew that the gentleman in question had felt a hairy carpet or something like that on his skin and had then made a leap from the bed onto the living room floor.', 'Then again deep silence.']","['literal', 'metaphor', 'misc', 'metaphor', 'literal', 'metaphor', 'literal', 'metaphor', 'literal']","the most peculiar silence followed - a silence of dreadful tension, full of expectation, hope, fear. it was pitch dark, and in order to enjoy the spectacle of the fourteen crouching anxiously on suitcases and beds in most inadequate toilet, one had to make do with the imagination, because there was absolutely nothing to see. there were occasional little breaks in the silence; you could tell by the voice who was speaking and where they were; and also","‹Followed by a right stamping; Then you knew that the gentleman in question had felt a hairy carpet or something like that on his skin and had then made a leap from the bed onto the living room floor.Then there were occasional little breaks in the silence; you could tell by the voice who was speaking and where they were; It was also possible to distinguish from which direction the other noises amount which one of the poor sufferers caused by his groping about or a change in his body position.It was pitch dark, and in order to enjoy the spectacle of the fourteen crouching anxiously on suitcases and beds in the most inadequate toilet, one had to make do with the imagination, because there was absolutely nothing to see.Nobody dared to let the room for fear of stepping on a tarantula."
"The meal was delicious - warm bread, fried bacon, and black coffee. And the solitude that surrounded us was delicious too. There was a sawmill three miles away with a few workers, and there weren't fifteen human beings in the whole vast area around the lake. When the darkness fell and the stars came up, so that the huge mirror shone like jewelery, we smoked our pipes contemplatively in the solemn silence and forgot all worries and pains. When it was time, we spread our blankets over the warm sand between two large pieces of rock and soon fell asleep, unconcerned about the ants, which crawled into our clothes in a long row and examined us down to the skin. Nothing could disturb the sleep that surrounded us, for we had truly deserved it, and if our conscience accused us of any sins, judgment must be adjourned for that night under all circumstances. The wind was just rising as our consciousness[20] faded, and the crash of the surf on the bank lulled us to slumber.",8,3,0,3,2,1,"['warm', '', 'human', 'land', 'quick', 'touch', 'just']","['warm', '', 'human', 'came', 'warm', 'disturb', 'just']","['The meal was delicious - warm bread, fried bacon, and black coffee.', 'And the solitude that surrounded us was delicious too.', ""There was a sawmill three miles away with a few workers, and there weren't fifteen human beings in the whole vast area around the lake."", 'When the darkness fell and the stars land up, so that the huge mirror shone like jewelery, we smoked our pipes contemplatively in the solemn silence and forgot all worries and pains.', 'When it was time, we spread our blankets over the warm sand between two large pieces of rock and soon fell asleep, unconcerned about the ants, which crawled into our clothes in a long row and examined us down to the skin.', 'Nothing could touch the sleep that surrounded us, for we had truly deserved it, and if our conscience accused us of any sins, judgment must be adjourned for that night under all circumstances.', 'The wind was just rising as our consciousness[20] faded, and the crash of the surf on the bank lulled us to slumber.']","['literal', 'misc', 'literal', 'metaphor', 'literal', 'metaphor', 'literal']","the meal was delicious - warm bread, fried bacon, and black coffee. fifteen human beings in the vast area around the lake were found in a sawmill three miles away, but there weren't fifteen humans in all of the area. if our conscience accused us of any sins, judgment must be adjourned for that night under all circumstances. the wind was just rising as our consciousness[20] faded.","When the darkness fell and the stars land up, so that the huge mirror shone like jewelery, we smoked our pipes contemplatively in the solemn silence and forgot all worries and pains.When it was time, we spread our blankets over the warm sand between two large pieces of rock and soon fell asleep, unconcerned about the ants, which crawled into our clothes in a long row and examined us down to the skin.The wind was just rising as our consciousness[20] faded, and the crash of the surf on the bank lulled us to slumber."
"An enumeration of these Federal statutes and constitutional amendments has been made in order to show the efforts of Congress. It is to secure to the Negro every civil and political right of a full-fledged citizen of the United States. Later they will be discussed in detail. By the Civil Rights Bill of 1875, Congress apparently intended to secure not only equal but identical accommodations in all public places for Negroes and Caucasians. If one looks only upon the surface of these several legislative enactments, it would seem impossible to have a race distinction recognized by law. That is because it did not violate some Federal statute or the Federal Constitution. But the succeeding pages will show that, under the shadow of the statutes and the Constitution, the legislatures and courts of the States have built up a mass of race distinctions which the Federal courts and Congress, even if so inclined, are impotent to attack.",7,3,1,6,0,0,"['stress', 'feather', 'posterior', 'safe', 'legislative', 'sin', 'beam']","['show', 'fledged', 'Later', 'secure', 'legislative', 'violate', 'show']","['An enumeration of these Federal statutes and constitutional amendments has been made in order to stress the efforts of Congress.', 'It is to secure to the Negro every civil and political right of a full-feather citizen of the United States.', 'posterior they will be discussed in detail.', 'By the Civil Rights Bill of 1875, Congress apparently intended to secure not only equal but identical accommodations in all public places for Negroes and Caucasians.', 'If one looks only upon the surface of these several legislative enactments, it would seem impossible to have a race distinction recognized by law.', 'That is because it did not sin some Federal statute or the Federal Constitution.', 'But the succeeding pages will beam that, under the shadow of the statutes and the Constitution, the legislatures and courts of the States have built up a mass of race distinctions which the Federal courts and Congress, even if so inclined, are impotent to attack.']","['metaphor', 'metaphor', 'metaphor', 'literal', 'literal', 'metaphor', 'metaphor']","by the Civil Rights Bill of 1875, Congress apparently intended to secure equal but identical accommodations in all public places for Negroes and Caucasians. if one looks only upon the surface of these several legislative enactments, it would seem impossible to have a race distinction recognized by law.","But the succeeding pages will beam that, under the shadow of the statutes and the Constitution, the legislatures and courts of the States have built up a mass of race distinctions which the Federal courts and Congress, even if so inclined, are impotent to attack.If one looks only upon the surface of these several legislative enactments, it would seem impossible to have a race distinction recognized by law.By the Civil Rights Bill of 1875, Congress apparently intended to secure not only equal but identical accommodations in all public places for Negroes and Caucasians."
"One of the most profitable uses of history is the narrative of such lives. Having this in mind, it is safe to say that there is no species of writing of more value than biography. It inspires the young to nobler purposes. It develops higher resolves. And it proves an incentive to the laudable imitation of men. Men, who in prominent positions have proved true to principle and duty. It is in this spirit and with this thought in mind, that I undertake to write the story of the life of Dr. Walker. ",7,2,2,2,3,0,"['such', 'more', 'noble', 'spike', 'praiseworthy', 'striking', 'profile']","['such', 'more', 'nobler', 'develops', 'laudable', 'prominent', 'write']","['One of the most profitable uses of history is the narrative of such lives.', 'Having this in mind, it is safe to say that there is no species of writing of more value than biography.', 'It inspires the young to noble purposes.', 'It spike higher resolves.', 'And it proves an incentive to the laudable imitation of men.', 'Men, who in striking positions have proved true to principle and duty.', 'It is in this spirit and with this thought in mind, that I undertake to profile the story of the life of Dr. Walker.']","['literal', 'literal', 'metaphor', 'metaphor', 'literal', 'metaphor', 'metaphor']","the story of the life of Dr. Walker is profiled in this spirit and with this thought in mind, I undertake to profile a biography of dr. walker. the biography is the most profitable uses of history. it is fascinating to look at the history of such lives. this is not the same as the edd s..","It is in this spirit and with this thought in mind, that I undertake to profile the story of the life of Dr. Walker.It inspires the young to noble purposes.And it proves an incentive to the laudable imitation of men."
"Mr. Bingley had soon made himself acquainted with all the principal people in the room. He was lively and unreserved. He danced every dance. He was angry that the ball closed so early, and talked of giving one himself at Netherfield. Such amiable qualities must speak for themselves. What a contrast between him and his friend! Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley. He declined being introduced to any other lady. And he spent the rest of the evening in walking about the room, speaking occasionally to one of his own party. His character was decided. He was the proudest, most disagreeable man in the world. Everybody hoped that he would never come there again. Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.",14,2,2,1,6,2,"['master', '', 'dance', 'other', 'such', '', 'once', 'other', 'own', 'rule', 'unsympathetic', 'again', 'strap']","['principal', '', 'danced', 'early', 'Such', '', 'once', 'other', 'own', 'decided', 'disagreeable', 'again', 'sharpened']","['Mr. Bingley had soon made himself acquainted with all the master people in the room.', 'He was lively and unreserved.', 'He danced every dance.', 'He was angry that the ball closed so other, and talked of giving one himself at Netherfield.', 'such amiable qualities must speak for themselves.', 'What a contrast between him and his friend!', 'Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley.', 'He declined being introduced to any other lady.', 'And he spent the rest of the evening in walking about the room, speaking occasionally to one of his own party.', 'His character was rule.', 'He was the proudest, most disagreeable man in the world.', 'Everybody hoped that he would never come there again.', 'Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.']","['metaphor', 'misc', 'literal', 'metaphor', 'metaphor', 'misc', 'literal', 'literal', 'literal', 'metaphor', 'literal', 'literal', 'literal']","Mr. Darcy danced only once with Mrs. Hurst. he was angry that the ball closed so other, and talked of giving one himself at Netherfield. such amiable qualities must speak for themselves. what a contrast between him and his friend!","He was angry that the ball closed so other, and talked of giving one himself at Netherfield.Mr. Bingley had soon made himself acquainted with all the master people in the room.Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.And he spent the rest of the evening in walking about the room, speaking occasionally to one of his own party.He was the proudest, most disagreeable man in the world.He declined being introduced to any other lady."
