term,sense,sentence,class,confidence,pred_labels,replace_words,target_words
absorb,absorb#v#2,He absorbed the knowledge or beliefs of his tribe.,metaphor,0.9,metaphor,['intent'],['absorbed']
absorb,absorb#v#3,He absorbed the costs for the accident.,metaphor,0.9,metaphor,['intent'],['absorbed']
absorb,absorb#v#5,The sales tax is absorbed into the state income tax.,metaphor,0.8,metaphor,['steep'],['absorbed']
absorb,absorb#v#8,The immigrants were quickly absorbed into society.,metaphor,0.8,metaphor,['captive'],['absorbed']
absorb,absorb#v#9,Her interest in butterflies absorbs her completely.,metaphor,0.7,literal,['all'],['completely']
abuse,abuse#v#1,This boss abuses his workers.,literal,0.52,metaphor,['curse'],['abuses']
abuse,abuse#v#2,Don't abuse the system.,metaphor,0.5,metaphor,['stinger'],['abuse']
abuse,abuse#v#3,The actress abused the policeman who gave her a parking ticket.,metaphor,0.5,metaphor,['curse'],['abused']
abuse,abuse#v#4,Her husband often abuses alcohol.,metaphor,0.7,literal,['abuse'],['abuses']
accommodate,accommodate#v#3,Can you accommodate me with a rental car?,literal,0.7,metaphor,['letting'],['rental']
accommodate,accommodate#v#4,This hotel can accommodate 250 guests,literal,0.9,metaphor,['gear'],['accommodate']
accommodate,accommodate#v#7,The scientists had to accommodate the new results with the existing theories,literal,0.8,metaphor,['gear'],['accommodate']
acknowledge,acknowledge#v#2,The program committee acknowledged the submission of the authors of the paper,literal,0.9,metaphor,['receipt'],['acknowledged']
acknowledge,acknowledge#v#3,He never acknowledges his colleagues when they run into him in the hallway,literal,0.9,misc,[''],['when']
acknowledge,acknowledge#v#4,We must acknowledge the kindness she showed towards us,literal,0.9,metaphor,['notice'],['acknowledge']
acknowledge,acknowledge#v#5,acknowledge the deed,literal,0.9,metaphor,['receipt'],['acknowledge']
acknowledge,acknowledge#v#6,The Crown Prince was acknowledged as the true heir to the throne,literal,0.9,metaphor,['receipt'],['acknowledged']
acquaint,acquaint#v#1,Permit me to acquaint you with my son.,literal,0.913,misc,[''],['']
acquaint,acquaint#v#2,You should acquaint yourself with your new computer.,literal,0.6,literal,['fresh'],['new']
acquaint,acquaint#v#3,Please acquaint your colleagues of your plans to move.,literal,0.8,literal,['orient'],['acquaint']
act,act#v#1,think before you act,literal,0.8,misc,[''],['']
act,act#v#10,She acts in this play,literal,0.9,misc,[''],['']
act,act#v#2,You should act like an adult,literal,0.7,misc,[''],['']
act,act#v#4,She acts as the chair,metaphor,0.5,misc,[''],['']
act,act#v#6,This scene acts well,metaphor,0.5,metaphor,['swell'],['well']
address,address#v#1,He addressed the crowd outside the window.,literal,0.6,metaphor,['instrument'],['addressed']
address,address#v#6,He always addresses me with `Sir'.,literal,0.7,literal,['always'],['always']
adhere,adhere#v#1,You must adhere to the rules.,metaphor,0.6,misc,[''],['']
adhere,adhere#v#2,They adhered to their plan.,literal,0.8,misc,[''],['']
adhere,adhere#v#4,The residents of this village adhered to Catholicism.,metaphor,0.6,metaphor,['bond'],['adhered']
adhere,adhere#v#6,Will this wallpaper adhere to the wall?,literal,0.9167,metaphor,['stick'],['adhere']
administer,administer#v#1,administer a program,literal,0.7,metaphor,['deal'],['administer']
administer,administer#v#2,administer the last unction,literal,0.9,misc,[''],['']
administer,administer#v#3,administer critical remarks to everyone present,literal,0.6,literal,['vital'],['critical']
admit,admit#v#1,He admitted his errors,literal,0.8,metaphor,['sleep'],['admitted']
admit,admit#v#2,We cannot admit non-members into our club building,literal,0.8,literal,['allow'],['admit']
admit,admit#v#3,admit someone to the profession,literal,0.7,misc,[''],['']
admit,admit#v#5,This problem admits of no solution,metaphor,0.6,metaphor,['sleep'],['admits']
admit,admit#v#6,The French doors admit onto the yard,literal,0.8,metaphor,['house'],['admit']
admit,admit#v#8,This ticket will admit one adult to the show,literal,0.9,metaphor,['sleep'],['admit']
affect,affect#v#1,Will the new rules affect me?,literal,0.8,metaphor,['touch'],['affect']
affect,affect#v#2,the medicine affects my heart rate,literal,0.9,metaphor,['touch'],['affects']
affect,affect#v#3,This new ruling affects your business,literal,0.8,metaphor,['process'],['affects']
age,age#v#1,The death of his wife caused him to age fast,literal,0.7,literal,['quick'],['fast']
age,age#v#2,we age every day--what a depressing thought!,literal,0.9,metaphor,['newness'],['age']
age,age#v#3,The death of his child aged him tremendously,literal,0.6,literal,['tremendously'],['tremendously']
agree,agree#v#1,We agreed on the terms of the settlement,literal,0.9,misc,[''],['']
